NB,KNN,KNN_ADWIN,VFDT,HAT,HATT,ARF,OB,OB_ADWIN,LB,AdaBoost,AXGBoost_push,AXGBoost_replace,NC,SWT10_KNN_ADWIN,SWT10_VFDT,SWT10_HAT,SWT10_ARF,SWT20_KNN_ADWIN,SWT20_VFDT,SWT20_HAT,SWT20_ARF,MV_2,SES_05,ARIMA_212,SARIMA_212,ARMA_22,SWT01_HAT,SWT11_HAT,SWT21_HAT,SWT02_HAT,SWT12_HAT,SWT22_HAT,SWT01_ARF,SWT11_ARF,SWT21_ARF,SWT02_ARF,SWT12_ARF,SWT22_ARF
11.249522080799371,30.491968159601065,46.37817019180252,7.60630010441132,18.254585030202,296.74993810978503,442.7827300717955,160.5653318701603,119.7838030936584,423.6567292375868,230.1984661215964,100.87236149857635,99.53701182844088,0.1280677085793286,99.93703974659728,9.095970949048567,22.66447246807693,434.5609057795551,113.99229039435122,8.182961860304568,24.813501152895697,408.2678440342621,0.5196545566599525,0.4417931316434987,7.349923548202787,7.295477927635511,8.40298756130942,22.237395653198554,22.097719539593832,29.781450689795246,27.288448836399972,28.984952131805223,25.152586759594534,462.8816798627893,452.12682820532575,449.58884014168524,456.77263675073846,452.04711710350165,389.1160315949634
11.305723786199447,30.63899216560115,46.59586314300272,7.648535172811012,18.354926435801964,299.81289687178605,445.1593342611994,161.79352540056297,120.43738241185436,426.1980271003842,231.5938086871909,101.3496927803648,100.01867138223534,0.1286822393798502,100.2219279675941,9.16751179064595,22.794578038283,436.8870182365554,114.36382395975524,8.232383529694925,24.94584224447535,410.57125313827567,0.522118681451684,0.4438766676437808,7.384523721406731,7.3300934310304,8.439829415510758,22.338892691598495,22.26048544039412,29.89960598639584,27.393745761399668,29.0768286252056,25.337565617795008,465.8128643325913,454.9542800131274,452.1246369054681,459.50571225373824,455.28034883070575,391.38843730476435
11.341524384199223,30.729295962601128,46.72534208600255,7.674668752410957,18.4080951452019,301.8048086717848,446.9100949554007,162.59793677496364,120.83397679004884,427.92635431938834,232.51777406899015,101.67111436417107,100.33731137084214,0.1290805851818731,100.39498371838928,9.197614732248985,22.88706671108157,438.6471684635562,114.59456103936608,8.260461298488371,25.01229159026989,412.1175064480864,0.5237590840348275,0.4452457784464059,7.407257322029181,7.353087839225191,8.46371087971129,22.408221093598094,22.354590071394103,29.977054809995707,27.46297985479989,29.163117730006842,25.484131068394525,467.8149885167915,457.09444227593013,453.73642466547005,461.35426427134445,457.1336887990925,393.0602734927605
11.831523232999276,32.04010627700159,48.71190302900138,8.077968980609603,19.10913109560285,332.8649039089805,470.8183070803957,174.6529805699498,127.03046748924662,455.2449066387755,245.5232696460127,106.12921257201816,104.80750520501353,0.1350086539798212,102.94809801457886,9.904585903208863,24.45035395271661,461.6881208093775,117.9545605812029,8.761040860088178,26.4760180254616,432.6719945600177,0.5478982514621749,0.4657561990563408,7.729487228428479,7.684046914023929,8.825995981896995,23.49054379699901,24.08187317279295,31.242175567795744,28.423813444201414,30.086235504408613,27.663482930195187,495.1387670397835,480.82558393372966,477.4644136122732,485.91860458712256,479.50520488043514,414.89099914695873
11.847907629399309,32.08188554180156,48.77922940020162,8.089872547009373,19.13297014760267,334.0706678677807,471.5965680607959,175.0470333405483,127.22143862064914,456.1060594361792,246.03928052701264,106.28819570842316,104.965220486217,0.1352047119820781,103.07957806637933,9.916799031607662,24.48897767991148,463.1320924699827,118.114037415004,8.774923524686164,26.513186831064377,433.23914065101707,0.5487233558706066,0.4664476940481109,7.7409512892139904,7.695397388419951,8.839414672107523,23.520715520198802,24.135766578393042,31.307474364995734,28.452326943001367,30.11852308080829,27.801345938794704,496.1262505131863,481.69929856273046,478.34263664047484,486.7671590355236,480.27578622523214,415.63832189936403
11.969494385399608,32.39673291100133,49.284892030002126,8.19205444661036,19.49679186260255,341.1242171843829,476.9157373688079,177.91487988495447,128.52182773105488,461.7858923585769,249.21891958623672,107.3789017764415,105.99576673103074,0.136501502178362,103.95749671537924,10.081965279415815,24.843858910916605,468.7865564215692,119.16270395041684,8.889764189072958,26.951349494478563,438.3443208898258,0.5544147272848932,0.4710385436599608,7.81514124282694,7.770935120198556,8.925612817288492,23.745356128198807,24.52142107739427,31.675197518596907,28.655665258002067,30.344399975207033,28.385194747995094,502.3496854907842,488.25552470113655,483.79086732186823,492.35985565892514,486.02957405503986,421.6605748725651
12.004672035999697,32.48589323680141,49.42494249920198,8.217188083210795,19.685913111402783,343.5348855133798,478.4201973120092,178.74219370135978,128.89357270565432,463.5245866503748,250.17314692564068,107.69486418084598,106.31618338182344,0.1368975105695426,104.22882390657831,10.123615887214692,24.91275362692249,470.5112529935635,119.48997137241533,8.921095272072488,27.09433842627332,439.6608794248416,0.5560495530960907,0.4724238372706167,7.837884189027681,7.793779334797728,8.95118038847868,23.819844167598728,24.6134892349941,31.781880318997196,28.709763737402067,30.411493467608125,28.53028337699393,504.14065291018494,489.8835498097354,485.5322337456657,493.9682733401336,487.68354919723134,423.31571997498577
12.062442466999917,32.6483943338012,49.68535945860136,8.266824630610335,20.17859930520342,347.9306762797781,481.4239706390091,180.2243031245569,129.55853687785802,466.7080900105673,251.9756148226421,108.25065984063404,106.871641172421,0.1375918345624086,104.73815766797308,10.211720910609074,25.111388990720297,473.4830571243725,120.08420579581652,9.000822485670506,27.28597191367844,442.0026307768407,0.558883811502892,0.4748375540882989,7.878033032618987,7.834015804977389,8.997473547459958,23.951362373998585,24.760817555794425,32.020070715397516,28.831606952002176,30.576807586406904,28.829861349992825,507.19373215138575,492.9672476295324,488.6074442990599,496.6449770367253,490.4221327452331,426.16882662440077
12.122075198199862,32.79824679740181,49.92228539960104,8.321939771210419,20.69622145600345,352.3374765269777,484.289874275811,181.7117409097617,130.27343803506466,469.7314609665788,253.89445700204487,108.8104398024272,107.42394534143097,0.1382905273603683,105.2549125751735,10.27594200481326,25.40299352751608,476.4846113883665,120.70888962040917,9.103133240465468,27.47928462089876,444.6207328446501,0.5617246853158576,0.4772714196864399,7.918766933849111,7.875355387172021,9.043220167242543,24.079123440798345,24.925593426194666,32.24510858539795,28.965225977601996,30.73946509500761,29.096397168792464,510.51662624398443,496.06148065873276,492.1177923642566,499.5536063811334,493.2531629484445,429.2209695704067
12.309724263000025,33.30362363580197,50.755596077400696,8.49071870881096,21.38903148780196,365.6938081849749,494.2297263954176,186.49629601656235,132.3910957076574,479.6224381643635,260.8928141534507,110.56000076701385,109.17258487484176,0.1405095837755652,107.05423164258428,10.534288401213052,26.113447886716312,485.9514277601564,122.75026497141008,9.335259876042254,27.98300786308937,452.60515551426215,0.5707457139062171,0.4848899616816197,8.044983564871654,8.004065612599515,9.179874646495591,24.454118407598617,25.508993179193716,33.04773823399908,29.365199897201865,31.370113444008076,29.93227744599276,522.1239039399841,506.0144282289313,503.43064072284125,509.65937809194804,502.02366058543083,439.1194918973564
