KNN,NB,DT,RF,Bagging,AdaBoost,GradientBoosting
0.0015190260000963463,0.002360289000080229,0.004455052000139403,0.3286351350000132,0.041088147000209574,0.007026617000065016,0.12286608100021112
0.002450891999842497,0.0020911860001433524,0.005724434000057954,0.30028253799991944,0.05782946499994068,0.007091153000146733,0.13182433700012552
0.004845883999905709,0.002503655000055005,0.005659199000092485,0.3110550220001187,0.04414232399994944,0.00604193299977851,0.18500833100006275
0.0030453470001248206,0.001961754999911136,0.005459130999952322,0.34855829000002814,0.046612276999894675,0.008158521999575896,0.19660595499999545
0.003989294000120935,0.002229947000159882,0.005590203000110705,0.4184607979998418,0.05360638599995582,0.009785687999738002,0.2169448080003349
0.0033641080001416412,0.0019955359998675704,0.006962595999993937,0.4308869420001429,0.06264403900013349,0.009279941000386316,0.2642827340000622
0.003026410000074975,0.002265280000074199,0.006734972000003836,0.4187096030000248,0.07722964699996737,0.011429267000039545,0.2694255599999451
0.0034866109999711625,0.002077546999998958,0.007133831000146529,0.43847030099982476,0.06790082699990307,0.011865312999816524,0.29552475999980743
0.0037525669999922684,0.003512117999889597,0.00980795800001033,0.5801902050000081,0.06509896999978082,0.01263324499996088,0.33218829599991295
0.006042778000164617,0.003129339999986769,0.014151097999956619,0.47335382799997205,0.07452351500023724,0.014112187000137055,0.35086116100001163
0.004365011000118102,0.002377351999939492,0.013359584999989238,0.48105953399999635,0.07460996100007833,0.010535970000091766,0.35989934899998843
0.004749034000042229,0.003383025999937672,0.015217126000152348,0.5032396850001533,0.08831296499965902,0.011267358999702992,0.39711964000025546
0.006761556999890672,0.005165371999964918,0.013585183999794026,0.5947437259999333,0.09502821899968694,0.011111526000149752,0.4071116439999969
0.006932211000048483,0.0043914620000578,0.012601071000062802,0.6007937649999349,0.09893927999974039,0.012811563000013848,0.4475721250000788
0.0065313109998896834,0.0033709510000790033,0.011350066999966657,0.6599164210001618,0.09843669400015642,0.013234099999863247,0.4456912430000557
0.013835214999971868,0.003093410000019503,0.013757368999904429,0.7409658340000078,0.12583126199979233,0.015686211999764055,0.5297038550002071
0.008984640999869953,0.003440431999933935,0.014517679999926258,0.6561321250001129,0.12338393199979691,0.01656443499996385,0.5350053500001195
0.010197067000035531,0.004871270999956323,0.016156435000084457,0.7297095119999994,0.12731836600005408,0.01900282699989475,0.6269552969997676
0.008377767000183667,0.0032487890000538755,0.016206307000175002,0.6610670729999129,0.12462439299997641,0.017325257000265992,0.6049751040000046
