KNN,NB,DT,RF,Bagging,AdaBoost,GradientBoosting
0.05885124206542969,0.07281875610351562,0.06363582611083984,0.1551513671875,0.1494293212890625,0.09574031829833984,0.3799400329589844
0.16751575469970703,0.19992446899414062,0.16387081146240234,0.22411537170410156,0.3559446334838867,0.2447338104248047,0.30657386779785156
0.25523948669433594,0.3002052307128906,0.183197021484375,0.29998207092285156,0.4725675582885742,0.30760955810546875,0.2994861602783203
0.3090648651123047,0.3437843322753906,0.19348907470703125,0.33690834045410156,0.5311613082885742,0.33934783935546875,0.3222789764404297
0.33971214294433594,0.3735694885253906,0.21399688720703125,0.36275672912597656,0.5719404220581055,0.3610706329345703,0.3322467803955078
0.4233226776123047,0.4504737854003906,0.26966094970703125,0.43291664123535156,0.7131557464599609,0.4543476104736328,0.4062824249267578
0.44078636169433594,0.4702491760253906,0.28137969970703125,0.44768714904785156,0.7440547943115234,0.4740009307861328,0.4384136199951172
0.5024242401123047,0.5266456604003906,0.32239532470703125,0.4987812042236328,0.8519496917724609,0.5427875518798828,0.48387718200683594
0.5745754241943359,0.5849952697753906,0.35755157470703125,0.5416126251220703,0.9431362152099609,0.6017475128173828,0.5381984710693359
0.6274242401123047,0.6385841369628906,0.39270782470703125,0.5864276885986328,1.0343456268310547,0.6607074737548828,0.5917568206787109
0.6448879241943359,0.6588478088378906,0.40442657470703125,0.6027088165283203,1.0647411346435547,0.6803607940673828,0.6063365936279297
0.6977367401123047,0.7077980041503906,0.43958282470703125,0.6470661163330078,1.1559276580810547,0.7393207550048828,0.6609745025634766
0.7327785491943359,0.7449073791503906,0.46302032470703125,0.6766300201416016,1.2167186737060547,0.7786273956298828,0.6920070648193359
0.7856273651123047,0.7943458557128906,0.49817657470703125,0.7209415435791016,1.3085155487060547,0.8375873565673828,0.7527332305908203
0.8030910491943359,0.8139991760253906,0.5098953247070312,0.7357120513916016,1.3389110565185547,0.8572406768798828,0.7608242034912109
0.9306468963623047,0.9326515197753906,0.5948562622070312,0.8422718048095703,1.5592784881591797,0.9997272491455078,0.8960781097412109
0.9568996429443359,0.9602394104003906,0.6124343872070312,0.8628711700439453,1.6038036346435547,1.0292072296142578,0.9224147796630859
0.9745922088623047,0.9762306213378906,0.6241531372070312,0.8781452178955078,1.632619857788086,1.0488605499267578,0.9371547698974609
0.9964504241943359,0.9997901916503906,0.6388015747070312,0.8981189727783203,1.6711177825927734,1.0734272003173828,0.9561672210693359
1.0229320526123047,1.0237159729003906,0.6563796997070312,0.9202976226806641,1.718221664428711,1.1029071807861328,0.9873027801513672
1.057973861694336,1.0524024963378906,0.6798171997070312,0.9498844146728516,1.779012680053711,1.1422138214111328,1.021810531616211
1.3256664276123047,1.2512550354003906,0.8321609497070312,1.1419010162353516,2.174154281616211,1.3977069854736328,1.2457027435302734
1.347524642944336,1.2702980041503906,0.8468093872070312,1.1603641510009766,2.2121715545654297,1.4222736358642578,1.2777462005615234
1.3696117401123047,1.2912940979003906,0.8614578247070312,1.1783008575439453,2.2501659393310547,1.4468402862548828,1.2926998138427734
1.400259017944336,1.3169288635253906,0.8819656372070312,1.2025928497314453,2.3033580780029297,1.4812335968017578,1.320138931274414
1.4662914276123047,1.3740577697753906,0.9259109497070312,1.2584857940673828,2.4173412322998047,1.5549335479736328,1.3885250091552734
1.580434799194336,1.4775733947753906,1.0020828247070312,1.3560047149658203,2.6149120330810547,1.6826801300048828,1.4894161224365234
1.5981273651123047,1.4947853088378906,1.0138015747070312,1.370798110961914,2.6453075408935547,1.7023334503173828,1.5248966217041016
